elpumpál,lepumpál
elpuskáz,lepuskáz
elpöcköl,lepöcköl
elpördül,lepördül
elpörget,lepörget
elpörköl,lepörköl
elpötyög,lepötyög
elragyog,leragyog
elrajzik,lerajzik
elrajzol,lerajzol
elreagál,lereagál
elrebben,lerebben
elrendel,lerendel
elrendez,lerendez
elreszel,lereszel
elriaszt,leriaszt
elritkul,leritkul
elrobban,lerobban
elrombol,lerombol
elromlik,leromlik
elrondít,lerondít
elrongál,lerongál
elrontat,lerontat
elroppan,leroppan
elroskad,leroskad
elrothad,lerothad
elruccan,leruccan
elrugdos,lerugdos
elrándul,lerándul
elrángat,lerángat
elröffen,leröffen
elröppen,leröppen
elröptet,leröptet
elrúgtat,lerúgtat
elsajnál,lesajnál
elsajtol,lesajtol
elsiklik,lesiklik
elsorvad,lesorvad
elspórol,lespórol
elsuhint,lesuhint
elsunyít,lesunyít
elsurran,lesurran
elsurrog,lesurrog
elsuttog,lesuttog
elszakad,leszakad
elszakít,leszakít
elszalad,leszalad
elszavaz,leszavaz
elszegel,leszegel
elszelel,leszelel
elszerel,leszerel
elszeret,leszeret
elszerez,leszerez
elszitál,leszitál
elszokik,leszokik
elszorul,leszorul
elszorít,leszorít
elszámol,leszámol
elszámoz,leszámoz
elszámít,leszámít
elszárad,leszárad
elszárít,leszárít
elszédít,leszédít
elszédül,leszédül
elszívat,leszívat
elszólás,leszólás
elszólít,leszólít
elszökik,leszökik
elszűkít,leszűkít
elszűkül,leszűkül
elsáncol,lesáncol
elsárgul,lesárgul
elsárgít,lesárgít
elsóhajt,lesóhajt
elsúlyoz,lesúlyoz
elsüpped,lesüpped
eltalpal,letalpal
eltapint,letapint
eltapsol,letapsol
eltaszít,letaszít
eltekint,letekint
elterhel,leterhel
elterjed,leterjed
eltervez,letervez
eltesped,letesped
eltiltat,letiltat
eltiltás,letiltás
eltiprat,letiprat
eltompul,letompul
eltompít,letompít
eltorzul,letorzul
eltorzít,letorzít
eltotyog,letotyog
eltussol,letussol
eltáncol,letáncol
eltépdes,letépdes
eltépked,letépked
eltérdel,letérdel
eltöltet,letöltet
eltömköd,letömköd
eltördel,letördel
eltörlés,letörlés
eltörpül,letörpül
eltörtet,letörtet
eltűzdel,letűzdel
elutazik,leutazik
elutánoz,leutánoz
elvackol,levackol
elvagdal,levagdal
elvagdos,levagdos
elvegyít,levegyít
elverdes,leverdes
elveszik,leveszik
elveszít,leveszít
elvetett,levetett
elvezető,levezető
elvillan,levillan
elvontat,levontat
elvágtat,levágtat
elváltat,leváltat
elvérzik,levérzik
elzajlik,lezajlik
elzsákol,lezsákol
elzörren,lezörren
elzötyög,lezötyög
elzüllik,lezüllik
eláramol,leáramol
elénekel,leénekel
elírogat,leírogat
elörököl,leörököl
elözönöl,leözönöl
elúsztat,leúsztat
elütöget,leütöget
elüzemel,leüzemel
etológia,teológia
etológus,teológus
hitetlen,hittelen
mázatlan,máztalan
megérett,megértet
megkapat,megkapta
megvágat,megvágta
megvárat,megvárta
megvonat,megvonta
mindenik,mindenki
útelzáró,útlezáró
odazárat,odazárta
keresett,kerestet
kiszákol,kizsákol
behunyat,behunyta
beszórat,beszórta
borozgat,borzogat
szeretet,szerette
