szorul,szorult
szörny,szörnyű
szövet,szövetű
sztyep,sztyepp
szűkül,szűkülő
szülés,szülési
szülés,szülész
szüret,szüreti
január,januári
jártat,jártató
játszi,játszik
javító,javítós
jelent,jelentő
jelkép,jelképi
jelleg,jellegű
jelzés,jelzésű
jelzet,jelzett
jogász,jogászi
jogerő,jogerős
jogügy,jogügyi
jókedv,jókedvű
jótáll,jótálló
július,júliusi
június,júniusi
